id,name,description,type
part13_gunther_entrepreneur,第二代的企业家之路,金特企业家之路比父亲容易得多，进入公司后很快证明实力业务不断增长。敏锐注意到远房亲戚织布厂出售机会，买下后进行全面现代化改革。积极进取对家族工厂未来进行规划，作为推销员走遍全国各大城市,第十三部分
part13_wwi_period,匡特在一战期间,1914年一战爆发为制服纺织厂带来海量订单，工厂产量短时间增长4倍满负荷生产。金特·匡特成为帝国战争经济部门重要管理者，全身投入原材料战役，结交有影响力人物将影响力扩大到纺织行业以外,第十三部分
part13_acquisition_master,被称为收购大师的金特·匡特,金特从一战中获得丰厚利润，在钾矿业开始新征程。与罗斯特格合作利用国家补偿资金吞并大量竞争公司建立庞大康采恩。通胀期间将流动资产换成实物资产，成功并购AFA公司成为匡特家族崛起重要转折点,第十三部分
part13_herbert_training,培养第三代接班人赫伯特·匡特,赫伯特9岁时母亲去世，因眼疾不得不辍学在家通过听力记忆学习。1927年17岁时哥哥去世改变人生轨迹，金特只能希望二儿子成为企业帝国继承人。先后送到英国法国深造，进行职业培训和实习,第十三部分
part13_generation_transition,匡特家族的世纪交替,金特·匡特去世时留下5500万德国马克巨额遗产，大部分是各公司股票。遗产几乎平均分给赫伯特和同父异母兄弟哈拉尔德。留下详细合同规定儿子们如何分管公司事宜，世纪交替进行得十分顺利,第十三部分
part14,第十四部分 匡特家族（二）,匡特家族第四代的发展历程，包括角逐戴姆勒-奔驰公司和宝马公司的收购战，赫伯特·匡特拯救宝马的传奇经历，第四代传承中复杂的家族财产分割，以及最终形成的现代匡特家族企业治理结构,第十四部分
part14_daimler_competition,角逐戴姆勒-奔驰公司,1954年金特·匡特去世时个人拥有戴姆勒公司3.85%股份。赫伯特和哈拉尔德认识到汽车行业将取代钢铁成为国家重点产业，将股份提高到9%。与煤炭钢铁大亨弗里克角力，最终通过合作协议获得更多股份,第十四部分
part14_bmw_competition,角逐宝马公司,20世纪50年代中期匡特家族把手伸向宝马公司。赫伯特偷偷购买宝马股份及可转换债券，没有告诉弟弟自己动用家族资产。1959年成功买下投机商人克拉格斯持有的大量宝马股份包括可转换债券,第十四部分
part14_bmw_crisis,宝马公司陷入困境,50年代末宝马汽车陷入困境，1958年亏损1200万马克1959年亏损1500万马克。车型政策只为临时工和总经理生产汽车，缺少针对中产群体车型。梅赛德斯奔驰新车各方面均优于宝马最新款,第十四部分
part14_bmw_shareholder_meeting,宝马公司慕尼黑股东大会,1959年12月9日在慕尼黑举行的宝马股东大会在德国经济史上留下重要影响。大股东与小股东严重对立，德意志银行计划将宝马并入戴姆勒。小股东强烈反对巧妙利用资产负债表错误中断会议，收购方案失败,第十四部分
part14_bmw_rescue,拯救宝马,赫伯特做出一生中最大胆选择：接手宝马公司进行重组工作。通过了解新车型、获得州政府支持、更换管理层、筹集资金、获得人才等六个步骤成功拯救宝马。1968年宝马销量达到11亿马克实现扭亏为盈,第十四部分
part14_fourth_generation,第四代传承,1967年哈拉尔德飞机坠毁身亡，1970年因遗产分配分歧进行家族资产划分。涉及宝马戴姆勒瓦尔塔IWKA等公司股份分配。赫伯特将瓦尔塔分成三个独立公司分给第二次婚姻的三个孩子让他们独立经营,第十四部分
part14_mother_children,母亲和子女之间,赫伯特1982年突然离世留下德国最大工业资产，20岁的苏珊娜和16岁的斯蒂芬无法立即接手。指定妻子约翰娜和好友戈尔茨作为遗嘱执行人。继承遗产前提是完成职业培训，26岁后才允许自由支配资金进入监事会任职,第十四部分
part14_bmw_modern,第四代手中的宝马集团,1997年苏珊娜·克拉滕和斯蒂芬·匡特进入宝马监事会，正值宝马收购罗孚困难时期。及时刹车撤换CEO最终将罗孚分拆出去使宝马重回正轨。现在苏珊娜拥有20.8%斯蒂芬拥有25.6%宝马股份，2014年资产估价310亿欧元位居德国财富榜首位,第十四部分
case_guiren_bird,贵人鸟案例分析,从辉煌鞋王到面临退市的贵人鸟发展困境案例。1987年创立，2014年上市巅峰，2018年陷入危机，2023年连续亏损，2024年面临退市。发展困境包括内部运营权力过度集中决策缺乏透明性，外部发展战略制定不合理陷入盲目扩张泥潭，丢失大本营盲目扩张短短几年烧掉近46亿元,案例分析 
